1	https://fr.wikipedia.org/wiki/Robot	200	UTF-8	    5668
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200	UTF-8	    1157
3	fr.wikipedia.org/wiki/Robot_d%27indexation	200	UTF-8	    1756
4	https://fr.wikipedia.org/wiki/Bot_informatique	200	UTF-8	    2577
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	200	UTF-8	    1163
6	https://roboty.magistry.fr	000		       0
7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	429	utf-8	      71
8	https://fr.wiktionary.org/wiki/robot	429	utf-8	      71
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	429	utf-8	      71
10	https://fr.wikipedia.org/wiki/Robotique	200	UTF-8	      71
